id	word
1226	恒
1227	恓
1228	恙
1229	恣
1230	恨
1231	恩
1232	恭
1233	息
1234	恰
1235	恳
1236	恶
1237	恸
1238	恻
1239	恼
1240	恽
1241	悄
1242	悔
1243	悖
1244	悟
1245	悠
1246	患
1247	悦
1248	悬
1249	悭
1250	悯
1251	悲
1252	悴
1253	悼
1254	情
1255	惆
1256	惊
1257	惑
1258	惘
1259	惜
1260	惟
1261	惠
1262	惧
1263	惨
1264	惩
1265	惬
1266	惭
1267	惮
1268	惯
1269	惰
1270	想
1271	惶
1272	惹
1273	惺
1274	愁
1275	愈
1276	愉
1277	愍
1278	意
1279	愚
1280	感
1281	愠
1282	愤
1283	愧
1284	愿
1285	慈
1286	慎
1287	慕
1288	慢
1289	慧
1290	慨
1291	慰
1292	慵
1293	慷
1294	憀
1295	憁
1296	憎
1297	憔
1298	憧
1299	憩
1300	懊
1301	懋
1302	懒
1303	懦
1304	懿
1305	戈
1306	戊
1307	戌
1308	戍
1309	戎
1310	戏
1311	成
1312	我
1313	戒
1314	或
1315	战
1316	戚
1317	戛
1318	戟
1319	戡
1320	戢
1321	截
1322	戬
1323	戮
1324	戴
1325	户
1326	戽
1327	戾
1328	房
1329	所
1330	扁
1331	扃
1332	扆
1333	扇
1334	扈
1335	扉
1336	手
1337	才
1338	扑
1339	打
1340	托
1341	扛
1342	扣
1343	执
1344	扪
1345	扫
1346	扬
1347	扰
1348	扶
1349	批
1350	承
1351	抄
1352	把
1353	抒
1354	抓
1355	投
1356	抖
1357	抗
1358	折
1359	抚
1360	抛
1361	护
1362	报
1363	披
1364	抬
1365	抱
1366	抵
1367	抹
1368	押
1369	抽
1370	拂
1371	拄
1372	担
1373	拆
1374	拈
1375	拉
1376	拊
1377	拍
1378	拏
1379	拒
1380	拔
1381	拖
1382	拗
1383	拘
1384	拙
1385	拚
1386	招
1387	拜
1388	拟
1389	拢
1390	拣
1391	拥
1392	拨
1393	择
1394	括
1395	拭
1396	拯
1397	拱
1398	拳
1399	拽
1400	拾
1401	持
1402	挂
1403	指
1404	挈
1405	按
1406	挑
1407	挞
1408	挟
1409	挠
1410	挥
1411	挫
1412	振
1413	挲
1414	挼
1415	挽
1416	捉
1417	捋
1418	捎
1419	捏
1420	捐
1421	捕
1422	损
1423	换
1424	捣
1425	捧
1426	据
1427	捷
1428	捺
1429	捻
1430	掀
1431	掁
1432	授
1433	掉
1434	掌
1435	排
1436	掖
1437	掘
1438	掞
1439	掠
1440	探
1441	掣
1442	接
1443	控
1444	推
1445	掩
1446	措
1447	掬
1448	掷
1449	掾
1450	掿
1451	揉
1452	描
1453	提
1454	插
1455	揖
1456	握
1457	揭
1458	揲
1459	援
1460	揽
1461	搅
1462	搏
1463	搓
1464	搔
1465	搜
1466	搢
1467	搭
1468	携
1469	摄
1470	摆
1471	摇
1472	摐
1473	摘
1474	摛
1475	摧
1476	摩
1477	摭
1478	摴
1479	摵
1480	撒
1481	撚
1482	撩
1483	播
1484	撮
1485	撰
1486	撷
1487	撼
1488	擅
1489	操
1490	擎
1491	擒
1492	擘
1493	擞
1494	擢
1495	攀
1496	攒
1497	攘
1498	攫
1499	支
1500	收
1501	攸
1502	改
1503	攻
1504	放
1505	政
1506	故
1507	效
1508	敌
1509	敏
1510	救
1511	敕
1512	敖
1513	教
1514	敛
1515	敝
1516	敞
1517	敢
1518	散
1519	敬
1520	数
1521	敲
1522	整
1523	敷
1524	文
1525	斋
1526	斐
1527	斑
1528	斒
1529	斓
1530	斗
1531	料
1532	斛
1533	斜
1534	斝
1535	斟
1536	斤
1537	斧
1538	斩
1539	斫
1540	断
1541	斯
1542	新
1543	方
1544	於
1545	施
1546	旁
1547	旂
1548	旃
1549	旄
1550	旅
1551	旆
1552	旋
1553	旌
1554	族
1555	旐
1556	旒
1557	旗
1558	旞
1559	旟
1560	无
1561	既
1562	日
1563	旦
1564	旧
1565	旨
1566	早
1567	旬
1568	旭
1569	旰
1570	旱
1571	时
1572	旷
1573	旻
1574	昂
1575	昆
1576	昉
1577	昊
1578	昌
1579	明
1580	昏
1581	易
1582	昔
1583	昙
1584	星
1585	映
1586	春
1587	昧
1588	昨
1589	昭
1590	是
1591	昱
1592	昶
1593	昼
1594	显
1595	晁
1596	晃
1597	晊
1598	晋
1599	晏
1600	晒
1601	晓
1602	晕
1603	晖
1604	晚
1605	晞
1606	晡
1607	晤
1608	晦
1609	晨
1610	普
1611	景
1612	晰
1613	晴
1614	晶
1615	智
1616	暂
1617	暄
1618	暇
1619	暑
1620	暖
1621	暗
1622	暝
1623	暨
1624	暮
1625	暴
1626	暹
1627	曈
1628	曙
1629	曛
1630	曜
1631	曝
1632	曦
1633	曰
1634	曲
1635	曳
1636	更
1637	曷
1638	曹
1639	曼
1640	曾
1641	替
1642	最
1643	月
1644	有
1645	朋
1646	服
1647	朏
1648	朔
1649	朗
1650	望
1651	朝
1652	期
1653	朣
1654	朦
1655	木
1656	未
1657	末
1658	本
1659	札
1660	朮
1661	术
1662	朱
1663	朴
1664	朵
1665	机
1666	朽
1667	朿
1668	杀
1669	杂
1670	权
1671	杆
1672	杉
1673	李
1674	杏
1675	材
1676	村
1677	杓
1678	杖
1679	杜
1680	杞
1681	束
1682	条
1683	来
1684	杨
1685	杪
1686	杭
1687	杯
1688	杰
1689	杳
1690	杵
1691	杷
1692	杼
1693	松
1694	板
1695	极
1696	构
1697	枇
1698	枉
1699	枕
1700	林
1701	枚
1702	果
1703	枝
1704	枢
1705	枣
1706	枥
1707	枨
1708	枪
1709	枫
1710	枭
1711	枯
1712	枰
1713	枳
1714	架
1715	枸
1716	枿
1717	柄
1718	柏
1719	柑
1720	染
1721	柔
1722	柘
1723	柚
1724	柝
1725	查
1726	柬
1727	柯
1728	柱
1729	柳
1730	柴
1731	柿
1732	栀
1733	栅
1734	标
1735	栈
1736	栉
1737	栊
1738	栋
1739	栎
1740	栏
1741	树
1742	栖
1743	栗
1744	校
1745	株
1746	样
1747	根
1748	格
1749	栽
1750	栾
1751	桀
1752	桂
1753	桃
1754	案
1755	桐
1756	桑
1757	桓
1758	桔
1759	桡
1760	桢
1761	桤
1762	桥
1763	桧
1764	桨
1765	桴
1766	桷
1767	梁
1768	梅
1769	梓
1770	梗
1771	梢
1772	梦
1773	梧
1774	梨
1775	梭
1776	梯
1777	梳
1778	梵
1779	检
1780	棂
1781	棉
1782	棋
1783	棒
1784	棕
1785	棘
1786	棚
1787	棠
1788	棣
1789	棨
1790	森
1791	棱
1792	棹
1793	棼
1794	植
1795	椎
1796	椒
1797	椰
1798	楖
1799	楗
1800	楚
1801	楞
1802	楠
1803	楢
1804	楫
1805	楮
1806	楷
1807	楸
1808	楹
1809	楼
1810	概
1811	榆
1812	榇
1813	榈
1814	榉
1815	榔
1816	榕
1817	榛
1818	榜
1819	榭
1820	榴
1821	榻
1822	榼
1823	槁
1824	槌
1825	槎
1826	槐
1827	槔
1828	槛
1829	槲
1830	槽
1831	槿
1832	樊
1833	樗
1834	樟
1835	模
1836	横
1837	樬
1838	樯
1839	樱
1840	樵
1841	樽
1842	橐
1843	橘
1844	橙
1845	橛
1846	橡
1847	橹
1848	檀
1849	檄
1850	檐
1851	檗
1852	檠
1853	檿
1854	櫜
1855	欠
1856	次
1857	欢
1858	欣
1859	欧
1860	欲
1861	欹
1862	欺
1863	款
1864	歆
1865	歇
1866	歈
1867	歊
1868	歌
1869	歙
1870	止
1871	正
1872	此
1873	步
1874	武
1875	歧
1876	死
1877	殁
1878	殃
1879	殄
1880	殉
1881	殊
1882	残
1883	殡
1884	殢
1885	殴
1886	段
1887	殷
1888	殿
1889	毁
1890	毂
1891	毅
1892	毋
1893	母
1894	每
1895	毒
1896	毓
1897	比
1898	毕
1899	毗
1900	毙
1901	毛
1902	毡
1903	毫
1904	毯
1905	毳
1906	毵
1907	毷
1908	氅
1909	氉
1910	氎
1911	氏
1912	民
1913	气
1914	氛
1915	氤
1916	氲
1917	水
1918	永
1919	汀
1920	汁
1921	求
1922	汉
1923	汍
1924	汗
1925	汜
1926	汝
1927	汞
1928	江
1929	池
1930	污
1931	汤
1932	汧
1933	汨
1934	汩
1935	汪
1936	汰
1937	汲
1938	汴
1939	汶
1940	汾
1941	沁
1942	沂
1943	沃
1944	沅
1945	沆
1946	沈
1947	沉
1948	沌
1949	沐
1950	沔
1951	沙
1952	沛
1953	沟
1954	没
1955	沣
1956	沤
1957	沥
1958	沦
1959	沧
1960	沫
1961	沱
1962	河
1963	沴
1964	沸
1965	油
1966	治
1967	沼
1968	沽
1969	沾
1970	沿
1971	泄
1972	泉
1973	泊
1974	泌
1975	泓
1976	法
1977	泗
1978	泛
1979	泜
1980	泠
1981	泡
1982	波
1983	泣
1984	泥
1985	注
1986	泪
1987	泫
1988	泬
1989	泯
1990	泰
1991	泱
1992	泷
1993	泸
1994	泻
1995	泼
1996	泽
1997	泾
1998	洁
1999	洋
2000	洎
2001	洒
2002	洗
2003	洙
2004	洛
2005	洞
2006	津
2007	洧
2008	洪
2009	洭
2010	洮
2011	洲
2012	洴
2013	洵
2014	活
2015	洽
2016	派
2017	洿
2018	流
2019	浃
2020	浅
2021	浆
2022	浇
2023	浊
2024	测
2025	济
2026	浐
2027	浑
2028	浓
2029	浔
2030	浙
2031	浣
2032	浥
2033	浦
2034	浩
2035	浪
2036	浮
2037	浯
2038	浴
2039	海
2040	浸
2041	浼
2042	涂
2043	消
2044	涉
2045	涌
2046	涓
2047	涔
2048	涕
2049	涛
2050	涟
2051	涤
2052	润
2053	涧
2054	涨
2055	涩
2056	涪
2057	涯
2058	液
2059	涴
2060	涵
2061	涿
2062	淄
2063	淅
2064	淇
2065	淋
2066	淑
2067	淘
2068	淙
2069	淝
2070	淡
2071	淫
2072	淬
2073	淮
2074	深
2075	淳
2076	混
2077	淹
2078	添
2079	淼
2080	清
2081	渊
2082	渌
2083	渍
2084	渎
2085	渐
2086	渑
2087	渔
2088	渚
2089	渝
2090	渠
2091	渡
2092	渤
2093	渥
2094	温
2095	渭
2096	港
2097	渴
2098	游
2099	渺
2100	湄
2101	湋
2102	湓
2103	湖
2104	湘
2105	湛
2106	湟
2107	湮
2108	湲
2109	湾
2110	湿
2111	溅
2112	溆
2113	源
2114	溘
2115	溜
2116	溟
2117	溢
2118	溪
2119	溯
2120	溱
2121	溳
2122	溶
2123	溺
2124	溽
2125	滁
2126	滂
2127	滋
2128	滑
2129	滓
2130	滔
2131	滕
2132	滚
2133	滞
2134	滟
2135	满
2136	滥
2137	滨
2138	滩
2139	滪
2140	滴
2141	滹
2142	漂
2143	漆
2144	漉
2145	漏
2146	漓
2147	演
2148	漙
2149	漠
2150	漫
2151	漱
2152	漳
2153	漾
2154	潇
2155	潋
2156	潏
2157	潘
2158	潜
2159	潞
2160	潢
2161	潦
2162	潭
2163	潮
2164	潸
2165	潺
2166	潼
2167	潾
2168	澄
2169	澈
2170	澌
2171	澜
2172	澥
2173	澧
2174	澹
2175	澼
2176	激
2177	濆
2178	濑
2179	濛
2180	濠
2181	濡
2182	濩
2183	濬
2184	濮
2185	濯
2186	瀍
2187	瀑
2188	瀛
2189	瀣
2190	瀰
2191	瀺
2192	灂
2193	灉
2194	灌
2195	灞
2196	火
2197	灭
2198	灯
2199	灰
2200	灵
2201	灶
2202	灸
2203	灼
2204	灾
2205	灿
2206	炀
2207	炉
2208	炊
2209	炎
2210	炙
2211	炫
2212	炬
2213	炭
2214	炯
2215	炷
2216	点
2217	炼
2218	炽
2219	烁
2220	烂
2221	烈
2222	烘
2223	烛
2224	烟
2225	烦
2226	烧
2227	烬
2228	热
2229	烹
2230	烽
2231	焉
2232	焙
2233	焚
2234	焦
2235	焰
2236	然
2237	煌
2238	煎
2239	煞
2240	照
2241	煮
2242	熊
2243	熏
2244	熔
2245	熙
2246	熟
2247	熳
2248	燂
2249	燃
2250	燎
2251	燕
2252	燖
2253	燧
2254	燮
2255	爆
2256	爇
2257	爨
2258	爪
2259	爱
2260	爵
2261	父
2262	爷
2263	爽
2264	牁
2265	牂
2266	片
2267	版
2268	牌
2269	牍
2270	牒
2271	牖
2272	牙
2273	牛
2274	牝
2275	牟
2276	牡
2277	牢
2278	牧
2279	物
2280	牲
2281	牵
2282	牷
2283	特
2284	牺
2285	犀
2286	犁
2287	犊
2288	犍
2289	犒
2290	犬
2291	犯
2292	状
2293	犹
2294	狂
2295	狄
2296	狎
2297	狐
2298	狖
2299	狗
2300	狞
2301	狡
2302	狩
2303	独
2304	狭
2305	狱
2306	狻
2307	狼
2308	猊
2309	猎
2310	猕
2311	猗
2312	猛
2313	猜
2314	猧
2315	猩
2316	猪
2317	猫
2318	猬
2319	献
2320	猱
2321	猴
2322	猷
2323	猿
